lon,lat,demand
-122.4094070,37.7751390,1
-122.4089529,37.7756451,1
-122.4096620,37.7753060,1
-122.4111457,37.7756440,1
-122.4141590,37.7754954,1
-122.4139204,37.7758218,1
-122.4146810,37.7765470,1
-122.4145283,37.7793222,1
-122.4143448,37.7881912,1
-122.4146858,37.7861802,1
-122.4145232,37.7840922,1
-122.4140643,37.7836045,1
-122.4125465,37.7828752,1
-122.4115746,37.7834211,1
-122.4116151,37.7840185,1
-122.4127909,37.7851809,1
-122.4139091,37.7847966,1
-122.4127523,37.7856648,1
-122.4131276,37.7864794,1
-122.4136429,37.7877324,1
-122.4133960,37.7868570,1
-122.4126360,37.7880690,1
-122.4112150,37.7871680,1
-122.4127093,37.7867392,1
-122.4114983,37.7856052,1
-122.4099428,37.7865343,1
-122.4110482,37.7866172,1
-122.4110500,37.7871400,1
-122.4097852,37.7881210,1
-122.4097320,37.7882325,1
-122.4097538,37.7872504,1
-122.4093920,37.7870322,1
-122.4086430,37.7877100,1
-122.4086891,37.7872539,1
-122.4082234,37.7866612,1
-122.4095170,37.7865000,1
-122.4085220,37.7854690,1
-122.4082779,37.7842514,1
-122.4093419,37.7841072,1
-122.4103850,37.7851185,1
-122.4097681,37.7841852,1
-122.4108520,37.7829466,1
-122.4102072,37.7826251,1
-122.4095480,37.7823810,1
-122.4087520,37.7834700,1
-122.4086410,37.7816010,1
-122.4094486,37.7809118,1
-122.4080978,37.7808913,1
-122.4101696,37.7795571,1
-122.4103100,37.7807700,1
-122.4101650,37.7819096,1
-122.4113724,37.7817194,1
-122.4119644,37.7814066,1
-122.4141910,37.7820920,1
-122.4139416,37.7796592,1
-122.4127168,37.7801191,1
-122.4115358,37.7785891,1
-122.4124090,37.7778626,1
-122.4128681,37.7770559,1
-122.4126349,37.7776047,1
-122.4104100,37.7776600,1
-122.4100964,37.7784177,1
-122.4086788,37.7783610,1
-122.4087972,37.7769502,1
-122.4074597,37.7763432,1
-122.4077761,37.7791121,1
-122.4053830,37.7790360,1
-122.4036892,37.7776800,1
-122.4020390,37.7766160,1
-122.4026016,37.7788605,1
-122.4042025,37.7795315,1
-122.4036302,37.7799013,1
-122.4032401,37.7802383,1
-122.4026200,37.7808890,1
-122.4039810,37.7822590,1
-122.4046068,37.7820162,1
-122.4053448,37.7812951,1
-122.4066330,37.7800000,1
-122.4074257,37.7805880,1
-122.4066000,37.7821500,1
-122.4078043,37.7819918,1
-122.4076349,37.7832865,1
-122.4067136,37.7824532,1
-122.4061450,37.7841000,1
-122.4063650,37.7843230,1
-122.4057670,37.7838690,1
-122.4059142,37.7851752,1
